id,caption,alttext,description,baseimageurl
103937,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN09238_dlvr
147407,negative,,,https://nrs.harvard.edu/urn-3:HUAM:FEIN12354n_dynmc
75614,,,,https://nrs.harvard.edu/urn-3:HUAM:INV009956_dynmc
32958,,,,https://nrs.harvard.edu/urn-3:HUAM:CARP08149_dynmc
135140,page 16 recto,,,https://nrs.harvard.edu/urn-3:HUAM:79656_dlvr
136476,folio 16 verso,,,https://nrs.harvard.edu/urn-3:HUAM:VRS86369_dynmc
74492,,,,https://nrs.harvard.edu/urn-3:HUAM:INV041479P_dynmc
155670,,,,https://nrs.harvard.edu/urn-3:HUAM:INV026316_dynmc
130722,,,,https://nrs.harvard.edu/urn-3:HUAM:48875_dynmc
152126,,,,https://nrs.harvard.edu/urn-3:HUAM:INV014198N_dynmc
97328,,,,https://nrs.harvard.edu/urn-3:HUAM:CARP09302_dynmc
145866,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN19216_dlvr
33292,black and white image,,,https://nrs.harvard.edu/urn-3:HUAM:46677_dynmc
47093,,,,https://nrs.harvard.edu/urn-3:HUAM:CARP07504_dynmc
163871,,,,https://nrs.harvard.edu/urn-3:HUAM:OCP12945_dynmc
58077,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN05697_dlvr
150036,,,,https://nrs.harvard.edu/urn-3:HUAM:INV007602N_dynmc
38988,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN02732_dynmc
63022,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN15772_dlvr
1756,,,,https://nrs.harvard.edu/urn-3:HUAM:VRS14059_dynmc
428490,,,,https://nrs.harvard.edu/urn-3:HUAM:LEG251481_dynmc
428497,,,,https://nrs.harvard.edu/urn-3:HUAM:LEG251488_dynmc
428498,,,,https://nrs.harvard.edu/urn-3:HUAM:LEG251489_dynmc
428505,,,,https://nrs.harvard.edu/urn-3:HUAM:LEG251496_dynmc
428508,,,,https://nrs.harvard.edu/urn-3:HUAM:LEG251499_dynmc
428511,,,,https://nrs.harvard.edu/urn-3:HUAM:LEG251502_dynmc
428513,,,,https://nrs.harvard.edu/urn-3:HUAM:LEG251504_dynmc
428521,,,,https://nrs.harvard.edu/urn-3:HUAM:LEG251512_dynmc
428522,,,,https://nrs.harvard.edu/urn-3:HUAM:LEG251513_dynmc
428524,,,,https://nrs.harvard.edu/urn-3:HUAM:LEG251515_dynmc
145212,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN16625_dlvr
158593,,,,https://nrs.harvard.edu/urn-3:HUAM:INV036578_dynmc
119273,,,,https://nrs.harvard.edu/urn-3:HUAM:INV036914_dynmc
147523,negative,,,https://nrs.harvard.edu/urn-3:HUAM:FEIN12585n_dynmc
124793,,,,https://nrs.harvard.edu/urn-3:HUAM:OCP14341_dlvr
31710,,,,https://nrs.harvard.edu/urn-3:HUAM:VRS42905_dynmc
160894,,,,https://nrs.harvard.edu/urn-3:HUAM:LEG130349_dynmc
54422,,,,https://nrs.harvard.edu/urn-3:HUAM:61887_dynmc
57025,,,,https://nrs.harvard.edu/urn-3:HUAM:INV010352_dynmc
129325,,,,https://nrs.harvard.edu/urn-3:HUAM:VRS42781_dynmc
428586,,,,https://nrs.harvard.edu/urn-3:HUAM:LEG251577_dynmc
428589,,,,https://nrs.harvard.edu/urn-3:HUAM:LEG251580_dynmc
428594,,,,https://nrs.harvard.edu/urn-3:HUAM:LEG251585_dynmc
428598,,,,https://nrs.harvard.edu/urn-3:HUAM:LEG251589_dynmc
428613,,A jagged shape with an arched wave carved onto it.,"A jagged shape which is uneven on all sides, as if all edges have been worn or broken away.  There seems to be a single line carved across the surface, a symmetrical wave which starts at the bottom left, arches up to the middle, and dips back down to the bottom right.  There does not seem to be any other decorations or markings.  The surface is mottled brown and patina green.",https://nrs.harvard.edu/urn-3:HUAM:LEG251604_dynmc
428614,,A long jagged shape.,"An object which seems to have been part of a larger surface, but is now a horizontal jagged shape.  There are a few faint carved marks throughout the object, but it is hard to tell if they are decorative or symbolic of anything in particular.  The surface is a mottled brown with green patina, and there are spots of rust orange as well. ",https://nrs.harvard.edu/urn-3:HUAM:LEG251605_dynmc
428615,Profile with inscription,,,https://nrs.harvard.edu/urn-3:HUAM:LEG251606_dynmc
